World,Expected,MAE,Temporal,Context,Strongest_Context,Lagged_Rainfall,Strongest_Lag,Interaction,Provenance
C1_Temperature_Nonlinear,REVISE,0.06302828939097291,0.9744327512430595,0.9939309023325014,temperature,0.0875714629570499,rainfall_lag1,0.627413068522098,1.0
C2_Rainfall_Saturation,REVISE,0.015346030387348178,0.38554972516335434,1.0,log_rainfall,0.2380731631973483,rainfall_lag1,0.25625950661557934,1.0
C3_Rainfall_Temperature_Interaction,REVISE,0.020300339653433228,0.4934020172139128,0.915499932761671,rainfall_temperature,0.27776943955550426,rainfall_lag1,0.6783218388610277,1.0
C4_Rainfall_Threshold,REVISE,0.04838326869806095,0.2099111440737031,0.9855369118780891,rainfall,0.2379610991544226,rainfall_lag1,0.41497028185159646,1.0
C5_Delayed_Rainfall,REVISE,0.023561098646890186,0.3530925473016233,0.06042919943604789,temperature,0.9157591594741216,rainfall_lag2,0.06847019988527181,1.0
