Year,Train_N,Test_N,Alpha,MAE_M0,RMSE_M0,MAE_Recalibrated,RMSE_Recalibrated,Parameter_MAE_Gain,Parameter_RMSE_Gain,MAE_M1,RMSE_M1,Structural_MAE_Gain,Structural_RMSE_Gain,M0_SqrtRain_Corr,M1_SqrtRain_Corr,Structural_Reduction,Parameter_Evidence,Structural_Evidence,ETMR_Decision
2022,1310,365,1.0160770464874356,0.005554427707304158,0.008344604971819417,0.005518164641956896,0.008384003892838497,3.6263065347261376e-05,-3.939892101907996e-05,0.005547775928016129,0.00833232290234161,6.651779288028951e-06,1.2282069477806065e-05,-0.08362732195268315,-0.08263058418046276,0.0009967377722203824,NOT_SUPPORTED,SUPPORTED,REVISE
2023,1675,365,1.0175592524609502,0.00425083471936723,0.0059510366559283505,0.004247633490799291,0.0059680843175100515,3.2012285679393e-06,-1.704766158170095e-05,0.004248786844029645,0.005957850615633223,2.0478753375852143e-06,-6.813959704872474e-06,0.012090474579151498,0.011562258032875146,0.000528216546276352,NOT_SUPPORTED,NOT_SUPPORTED,KEEP
2024,2040,361,1.0167708021916406,0.004552353332412539,0.006748330566054528,0.004545996177201358,0.006695252157203657,6.357155211180951e-06,5.307840885087137e-05,0.004539563245555371,0.006717392349722684,1.2790086857167662e-05,3.093821633184425e-05,0.14128222316958938,0.14489774075059558,-0.0036155175810062,SUPPORTED,NOT_SUPPORTED,RECALIBRATE
