Year,Alpha,Parameter_MAE_Mean,Parameter_MAE_CI_Lower,Parameter_MAE_CI_Upper,Parameter_MAE_P,Parameter_RMSE_Mean,Parameter_RMSE_CI_Lower,Parameter_RMSE_CI_Upper,Parameter_RMSE_P,Structural_MAE_Mean,Structural_MAE_CI_Lower,Structural_MAE_CI_Upper,Structural_MAE_P,Structural_RMSE_Mean,Structural_RMSE_CI_Lower,Structural_RMSE_CI_Upper,Structural_RMSE_P,Structural_Reduction_Mean,Structural_Reduction_CI_Lower,Structural_Reduction_CI_Upper,Structural_Reduction_P
2022,1.0160770464874356,3.610156976333108e-05,-4.018437704518822e-06,7.48998141097825e-05,0.964,-3.8931142391769623e-05,-7.729638077704878e-05,-2.3018178827769575e-06,0.0195,6.903605066207889e-06,-1.8360841423950233e-05,3.2210219852187276e-05,0.705,1.1857982168365196e-05,-2.3056991304517498e-05,4.7337002411630816e-05,0.736,0.0006300071851752144,-0.0047137309482468874,0.005778534992024215,0.611
2023,1.0175592524609502,3.5281810127494222e-06,-3.9199363523075684e-05,4.7670751569586116e-05,0.5655,-1.6685079739132994e-05,-5.924695324684289e-05,2.671773414674599e-05,0.219,1.8001433507252407e-06,-2.0603541846145496e-05,2.4245108041452947e-05,0.562,-6.8717789256054326e-06,-3.915098370287934e-05,2.594474786478287e-05,0.337,-0.0005945311481372617,-0.00654117150067179,0.004988480469877898,0.4115
2024,1.0167708021916404,6.19527588258016e-06,-3.831028036018853e-05,4.9935719061217343e-05,0.609,5.2155239357651515e-05,2.576831642515823e-06,9.89056771223064e-05,0.9805,1.2470463069493514e-05,-1.0575625938835133e-05,3.543830690483922e-05,0.8465,3.027820700518322e-05,-3.208064761600431e-06,6.250866686481563e-05,0.965,-0.00312603036688221,-0.00884834271450608,0.006389814661253973,0.136
